tractFIPS_left,SUM of Qty,tree planting sentence,many tree %ile,few tree %ile,priority category,pcanopy,canopy sentence,high canopy %ile,low canopy %ile,requests,requests sentence,high req %ile,low req %ile,prio_rank
17031040202,78,more than 59.5533498759305% of other census tracts,59.55334988,40.44665012,high                                                                            ,19.61265464,less than 52.8606965174129% of other census tracts,47.13930348,52.86069652,92,more than 64.3034825870647% of other census tracts,64.30348259,35.69651741,288
17031040300,102,more than 71.3399503722084% of other census tracts,71.33995037,28.66004963,low                                                                             ,35.54673842,more than 97.2636815920398% of other census tracts,97.26368159,2.736318408,99,more than 66.9154228855721% of other census tracts,66.91542289,33.08457711,101
17031040401,74,more than 57.1960297766749% of other census tracts,57.19602978,42.80397022,low                                                                             ,28.29343963,more than 87.8109452736319% of other census tracts,87.81094527,12.18905473,161,more than 81.592039800995% of other census tracts,81.5920398,18.4079602,36
17031040402,99,more than 70.2233250620348% of other census tracts,70.22332506,29.77667494,low                                                                             ,25.72271848,more than 77.7363184079602% of other census tracts,77.73631841,22.26368159,151,more than 80.2238805970149% of other census tracts,80.2238806,19.7761194,39
17031040600,52,less than 59.3052109181141% of other census tracts,40.69478908,59.30521092,low                                                                             ,26.69946638,more than 82.7114427860697% of other census tracts,82.71144279,17.28855721,69,more than 52.1144278606965% of other census tracts,52.11442786,47.88557214,55
17031040700,73,more than 55.8312655086849% of other census tracts,55.83126551,44.16873449,low                                                                             ,26.19589592,more than 80.5970149253731% of other census tracts,80.59701493,19.40298507,173,more than 83.5820895522388% of other census tracts,83.58208955,16.41791045,61
17031040800,44,less than 65.2605459057072% of other census tracts,34.73945409,65.26054591,low                                                                             ,28.36989498,more than 88.0597014925373% of other census tracts,88.05970149,11.94029851,85,more than 59.8258706467662% of other census tracts,59.82587065,40.17412935,46
17031040900,63,less than 50.2481389578164% of other census tracts,49.75186104,50.24813896,low                                                                             ,31.88093124,more than 94.0298507462687% of other census tracts,94.02985075,5.970149254,65,less than 50.1243781094527% of other census tracts,49.87562189,50.12437811,62
17031050100,26,less than 81.7617866004963% of other census tracts,18.2382134,81.7617866,low                                                                             ,24.11893652,more than 70.6467661691542% of other census tracts,70.64676617,29.35323383,87,more than 61.4427860696517% of other census tracts,61.44278607,38.55721393,57
17031050200,92,more than 66.8734491315136% of other census tracts,66.87344913,33.12655087,medium                                                                          ,26.37131273,more than 81.3432835820896% of other census tracts,81.34328358,18.65671642,132,more than 76.2437810945274% of other census tracts,76.24378109,23.75621891,134
17031050300,69,more than 54.2183622828784% of other census tracts,54.21836228,45.78163772,medium                                                                          ,22.1565567,more than 60.5721393034826% of other census tracts,60.5721393,39.4278607,158,more than 81.0945273631841% of other census tracts,81.09452736,18.90547264,149
17031050500,116,more than 77.4193548387097% of other census tracts,77.41935484,22.58064516,low                                                                             ,28.37707727,more than 88.1840796019901% of other census tracts,88.1840796,11.8159204,184,more than 84.7014925373134% of other census tracts,84.70149254,15.29850746,49
17031050600,25,less than 83.0024813895782% of other census tracts,16.99751861,83.00248139,low                                                                             ,27.23624713,more than 84.8258706467662% of other census tracts,84.82587065,15.17412935,46,less than 62.5621890547264% of other census tracts,37.43781095,62.56218905,58
17031050700,24,less than 83.6228287841191% of other census tracts,16.37717122,83.62282878,low                                                                             ,35.29220785,more than 96.8905472636816% of other census tracts,96.89054726,3.109452736,51,less than 59.3283582089552% of other census tracts,40.67164179,59.32835821,16
17031050800,30,less than 77.9156327543424% of other census tracts,22.08436725,77.91563275,low                                                                             ,27.94862467,more than 87.3134328358209% of other census tracts,87.31343284,12.68656716,74,more than 53.9800995024876% of other census tracts,53.9800995,46.0199005,92
17031050900,54,less than 56.8238213399504% of other census tracts,43.17617866,56.82382134,low                                                                             ,25.30254935,more than 76.2437810945274% of other census tracts,76.24378109,23.75621891,91,more than 63.8059701492537% of other census tracts,63.80597015,36.19402985,104
17031051000,63,less than 50.2481389578164% of other census tracts,49.75186104,50.24813896,medium                                                                          ,23.73447987,more than 68.5323383084577% of other census tracts,68.53233831,31.46766169,133,more than 76.4925373134328% of other census tracts,76.49253731,23.50746269,127
17031051100,40,less than 68.1141439205955% of other census tracts,31.88585608,68.11414392,medium                                                                          ,28.42425104,more than 88.4328358208955% of other census tracts,88.43283582,11.56716418,129,more than 75.2487562189055% of other census tracts,75.24875622,24.75124378,126
17031051200,33,less than 74.317617866005% of other census tracts,25.68238213,74.31761787,low                                                                             ,31.60503579,more than 93.6567164179105% of other census tracts,93.65671642,6.343283582,86,more than 60.4477611940299% of other census tracts,60.44776119,39.55223881,69
